Name,Ton,SEER,Price,Vendor,Model Number,Link
Kelvinator 5 Ton 14 SEER R-410A Split System Air Package Conditioning System,5,14,"4,175",Home Depot,JS4BE-060KA,http://www.homedepot.com/p/Kelvinator-5-Ton-14-SEER-R-410A-Split-System-Air-Package-Conditioning-System-JS4BE-060KA/206084677
Winchester 5 Ton 13 SEER Residential Sweat A/C System with 30 ft. Line Set,5,13,3281,Home Depot,13RAC60-30,http://www.homedepot.com/p/Winchester-5-Ton-13-SEER-Residential-Sweat-A-C-System-with-30-ft-Line-Set-13RAC60-30/207069228
Kelvinator 3.5 Ton 14 SEER R-410A Split System Package Heat Pump System,3.5,14,3884.53,Home Depot,JT4BE042KA,http://www.homedepot.com/p/Kelvinator-3-5-Ton-14-SEER-R-410A-Split-System-Package-Heat-Pump-System-JT4BE042KA/206084774
Kelvinator 3.5 Ton 14 SEER R-410A Split System Package Air Conditioning System,3.5,14,3483.37,Home Depot,JS4BE-042KA,http://www.homedepot.com/p/Kelvinator-3-5-Ton-14-SEER-R-410A-Split-System-Package-Air-Conditioning-System-JS4BE-042KA/206084675
Winchester 3.5 Ton 13 SEER Residential Sweat A/C System with 30 ft. Line Set,3.5,13,2875,Home Depot,13RAC42-30,http://www.homedepot.com/p/Winchester-3-5-Ton-13-SEER-Residential-Sweat-A-C-System-with-30-ft-Line-Set-13RAC42-30/207069197
Kelvinator 2.5 Ton 14 SEER R-410A Split System Package Heat Pump System,2.5,14,3145.33,Home Depot, JT4BE030KA,http://www.homedepot.com/p/Kelvinator-2-5-Ton-14-SEER-R-410A-Split-System-Package-Heat-Pump-System-JT4BE030KA/206084772
Kelvinator 3 Ton 13 SEER R-410A Split System Central Air Conditioning System,3,13,2495,Home Depot,JS4BD036KB,http://www.homedepot.com/p/Kelvinator-3-Ton-13-SEER-R-410A-Split-System-Central-Air-Conditioning-System-JS4BD036KB/205218349
Winchester 2.5 Ton 14 SEER Residential Sweat A/C System with 30 ft. Line Set,2.5,14,2496,Home Depot,14SAC30-30,http://www.homedepot.com/p/Winchester-2-5-Ton-14-SEER-Residential-Sweat-A-C-System-with-30-ft-Line-Set-14SAC30-30/207069334
Winchester 5 Ton 14 SEER Residential Sweat A/C System with 30 ft. Line Set,5,14,3648,Home Depot,14SAC60-30,http://www.homedepot.com/p/Winchester-5-Ton-14-SEER-Residential-Sweat-A-C-System-with-30-ft-Line-Set-14SAC60-30/207069365
Kelvinator 3 Ton 14 SEER R-410A Split System Package Heat Pump System,3,14,3570,Home Depot, JT4BE036KA,http://www.homedepot.com/p/Kelvinator-3-Ton-14-SEER-R-410A-Split-System-Package-Heat-Pump-System-JT4BE036KA/206084773
Kelvinator Residential 2.5-Ton 14-SEER Central Air Conditioner ENERGY STAR,2.5,14,2935.12,Lowe's,JS4BE-030KA,https://www.lowes.com/pd/Kelvinator-Residential-2-5-Ton-14-SEER-Central-Air-Conditioner-ENERGY-STAR/999910105
Kelvinator Residential 1.5-Ton 14-SEER Central Air Conditioner ENERGY STAR,1.5,14,2482.99,Lowe's,JS4BE-018KA,https://www.lowes.com/pd/Kelvinator-Residential-1-5-Ton-14-SEER-Central-Air-Conditioner-ENERGY-STAR/999910109
Kelvinator Residential 2-Ton 14-SEER Central Air Conditioner ENERGY STAR,2,14,2719.97,Lowe's,JS4BE-024KA,https://www.lowes.com/pd/Kelvinator-Residential-2-Ton-14-SEER-Central-Air-Conditioner-ENERGY-STAR/999910107
Kelvinator Residential 4-Ton 14-SEER Central Air Conditioner ENERGY STAR,4,14,3905.15,Lowe's,JS4BE-048KA,https://www.lowes.com/pd/Kelvinator-Residential-4-Ton-14-SEER-Central-Air-Conditioner-ENERGY-STAR/999910111
Kelvinator Residential 3.5-Ton 14-SEER Central Air Conditioner ENERGY STAR,3.5,14,3398.41,Lowe's,JS4BE-042KA,https://www.lowes.com/pd/Kelvinator-Residential-3-5-Ton-14-SEER-Central-Air-Conditioner-ENERGY-STAR/999910117
Kelvinator Residential 3-Ton 14-SEER Central Air Conditioner ENERGY STAR,3,14,3370,Lowe's,JS4BE-036KA,https://www.lowes.com/pd/Kelvinator-Residential-3-Ton-14-SEER-Central-Air-Conditioner-ENERGY-STAR/999910113
Kelvinator Residential 5-Ton 14-SEER Central Air Conditioner ENERGY STAR,5,14,4714.76,Lowe's,JS4BE-060KA,https://www.lowes.com/pd/Kelvinator-Residential-5-Ton-14-SEER-Central-Air-Conditioner-ENERGY-STAR/999910115
MRCOOL 3.5 Ton 14 SEER R-410A Horizontal or Downflow Package A/C and Gas,3.5,14,2186.99,Home Depot,MCPG42S090M414,http://www.homedepot.com/p/MRCOOL-3-5-Ton-14-SEER-R-410A-Horizontal-or-Downflow-Package-A-C-and-Gas-MCPG42S090M414/207149554
Kelvinator 5 Ton 14 SEER R-410A Split System Package Heat Pump System,5,14,4767,Home Depot,JT4BE-060KA,http://www.homedepot.com/p/Kelvinator-5-Ton-14-SEER-R-410A-Split-System-Package-Heat-Pump-System-JT4BE-060KA/206084776
Winchester 2.5 Ton 13 SEER Residential Sweat A/C System with 30 ft. Line Set,2.5,13,2385,Home Depot,13RAC30-30,http://www.homedepot.com/p/Winchester-2-5-Ton-13-SEER-Residential-Sweat-A-C-System-with-30-ft-Line-Set-13RAC30-30/207069190
